slot_index	slot_type	token	count
0	FRAG	a	89281
0	FRAG	m	62740
0	FRAG	s	57834
0	FRAG	k	53087
0	FRAG	j	49701
0	FRAG	b	48169
0	FRAG	d	46586
0	FRAG	c	45580
0	FRAG	r	45260
0	FRAG	l	44758
0	FRAG	n	41989
0	FRAG	t	38440
0	FRAG	e	36806
0	FRAG	p	30604
0	FRAG	com	30434
0	FRAG	g	28065
0	FRAG	i	26372
0	FRAG	h	26309
0	FRAG	x	23275
0	FRAG	u	22284
0	FRAG	f	21639
0	FRAG	y	20971
0	FRAG	me	19312
0	FRAG	o	19228
0	FRAG	v	18234
0	FRAG	w	17447
0	FRAG	z	14557
0	FRAG	hotmail	13419
0	FRAG	q	8750
0	FRAG	my	7087
0	FRAG	luv	5556
0	FRAG	ma	5319
0	FRAG	st	5196
0	FRAG	ss	4840
0	FRAG	ch	4769
0	FRAG	la	4730
0	FRAG	th	4703
0	FRAG	ms	4662
0	FRAG	am	4591
0	FRAG	as	4511
0	FRAG	jj	4285
0	FRAG	mm	4249
0	FRAG	aa	4232
0	FRAG	ab	4230
0	FRAG	jr	4117
0	FRAG	feb	4080
0	FRAG	sk	4045
0	FRAG	mr	3994
0	FRAG	nov	3993
0	FRAG	er	3943
0	FRAG	abc	3934
0	FRAG	bb	3913
0	FRAG	lil	3906
0	FRAG	da	3874
0	FRAG	jc	3869
0	FRAG	al	3830
0	FRAG	dec	3814
0	FRAG	no	3783
0	FRAG	jm	3598
0	FRAG	mom	3547
0	FRAG	sa	3471
0	FRAG	xx	3471
0	FRAG	ll	3468
0	FRAG	sh	3434
0	FRAG	de	3424
0	FRAG	cc	3414
0	FRAG	oct	3371
0	FRAG	ca	3369
0	FRAG	na	3368
0	FRAG	dj	3312
0	FRAG	hi	3253
0	FRAG	mc	3250
0	FRAG	te	3247
0	FRAG	teamo	3180
0	FRAG	ja	3155
0	FRAG	aj	3149
0	FRAG	an	3137
0	FRAG	jo	3098
0	FRAG	ac	3019
0	FRAG	kk	3001
0	FRAG	co	2999
0	FRAG	ka	2975
0	FRAG	lyf	2951
0	FRAG	ryan	2937
0	FRAG	jb	2923
0	FRAG	mj	2867
0	FRAG	mi	2800
0	FRAG	is	2799
0	FRAG	yo	2754
0	FRAG	ad	2740
0	FRAG	br	2698
0	FRAG	ar	2697
0	FRAG	rd	2685
0	FRAG	ck	2663
0	FRAG	sm	2660
